codcli,marca,colecaoId,colecao,ordem,valor
2,KIKI,I25,Inverno 2025,1,8043
2,KIKI,I26,Inverno 2026,4,3
2,KIKI,V26,Verão 2026,3,5
2,MENINA ANJO,I25,Inverno 2025,1,5732
26,KIKI,V26,Verão 2026,3,6
28,KIKI,I26,Inverno 2026,4,7225
28,KIKI,V26,Verão 2026,3,6
143,KIKI,I26,Inverno 2026,4,7225
143,KIKI,V26,Verão 2026,3,6
144,KIKI,I26,Inverno 2026,4,31466
144,KIKI,V26,Verão 2026,3,24984
144,MENINA ANJO,I26,Inverno 2026,4,9001
144,MENINA ANJO,V26,Verão 2026,3,6255
144,VALENT,I26,Inverno 2026,4,283535
144,VALENT,V26,Verão 2026,3,7099
157,KIKI,V26,Verão 2026,3,6
158,KIKI,I25,Inverno 2025,1,9050
319,KIKI,I25,Inverno 2025,1,13734
319,KIKI,I26,Inverno 2026,4,5
319,KIKI,V26,Verão 2026,3,3
319,KIKI,V27,Verão 2027,6,389042
350,KIKI,V26,Verão 2026,3,513285
350,VALENT,V26,Verão 2026,3,10
352,KIKI,I25,Inverno 2025,1,9544
352,KIKI,I26,Inverno 2026,4,13
352,KIKI,V26,Verão 2026,3,532165
352,KIKI,V27,Verão 2027,6,3014090
430,KIKI,I25,Inverno 2025,1,7178
430,KIKI,I26,Inverno 2026,4,4
433,KIKI,I25,Inverno 2025,1,41196
433,KIKI,I26,Inverno 2026,4,13099
433,KIKI,V26,Verão 2026,3,15610
433,MENINA ANJO,I25,Inverno 2025,1,8554
433,MENINA ANJO,V26,Verão 2026,3,7477
468,KIKI,I25,Inverno 2025,1,7914
468,KIKI,I26,Inverno 2026,4,3
468,KIKI,V26,Verão 2026,3,3
468,KIKI,V27,Verão 2027,6,2365
468,MENINA ANJO,I25,Inverno 2025,1,7168
468,VALENT,V26,Verão 2026,3,3
475,KIKI,V26,Verão 2026,3,133942
475,MENINA ANJO,V26,Verão 2026,3,29632
475,VALENT,V26,Verão 2026,3,31580
499,KIKI,I25,Inverno 2025,1,2157
499,KIKI,V26,Verão 2026,3,8416
499,MENINA ANJO,V26,Verão 2026,3,4232
499,VALENT,V26,Verão 2026,3,3186
505,KIKI,I25,Inverno 2025,1,1833
505,KIKI,V26,Verão 2026,3,3
555,KIKI,I25,Inverno 2025,1,3861
555,KIKI,I26,Inverno 2026,4,385295
555,MENINA ANJO,I25,Inverno 2025,1,5426
555,MENINA ANJO,I26,Inverno 2026,4,436050
562,KIKI,V26,Verão 2026,3,5252
592,KIKI,I25,Inverno 2025,1,3859
716,KIKI,I25,Inverno 2025,1,7046
716,KIKI,I26,Inverno 2026,4,4
716,KIKI,V26,Verão 2026,3,5
716,KIKI,V27,Verão 2027,6,1061445
737,KIKI,V26,Verão 2026,3,13
737,VALENT,V26,Verão 2026,3,3
779,KIKI,I25,Inverno 2025,1,3297
779,KIKI,I26,Inverno 2026,4,5
779,MENINA ANJO,I26,Inverno 2026,4,581400
784,KIKI,V26,Verão 2026,3,9099
792,MENINA ANJO,I25,Inverno 2025,1,6089
886,KIKI,V26,Verão 2026,3,9956
922,KIKI,I25,Inverno 2025,1,16126
922,KIKI,I26,Inverno 2026,4,4
922,MENINA ANJO,I25,Inverno 2025,1,2894
986,KIKI,I25,Inverno 2025,1,11
986,KIKI,V26,Verão 2026,3,3
1066,KIKI,V26,Verão 2026,3,2108
1268,KIKI,I25,Inverno 2025,1,2593
1268,MENINA ANJO,I25,Inverno 2025,1,1578
1268,VALENT,V26,Verão 2026,3,3
1278,KIKI,I25,Inverno 2025,1,51354
1278,KIKI,I26,Inverno 2026,4,412214
1278,MENINA ANJO,I25,Inverno 2025,1,12507
1278,MENINA ANJO,I26,Inverno 2026,4,2585
1289,KIKI,V26,Verão 2026,3,10084
1289,MENINA ANJO,V26,Verão 2026,3,7711
1289,VALENT,V26,Verão 2026,3,10400
1350,KIKI,I25,Inverno 2025,1,9296
1350,KIKI,I26,Inverno 2026,4,5
1350,KIKI,V26,Verão 2026,3,5
1350,MENINA ANJO,I25,Inverno 2025,1,11512
1447,KIKI,I25,Inverno 2025,1,5335
1447,KIKI,V26,Verão 2026,3,3960
1447,KIKI,V27,Verão 2027,6,8134
1447,MENINA ANJO,I26,Inverno 2026,4,1640
1447,MENINA ANJO,V26,Verão 2026,3,2270
1447,MENINA ANJO,V27,Verão 2027,6,2248
1501,MENINA ANJO,I25,Inverno 2025,1,3
1656,KIKI,V27,Verão 2027,6,2091689
1656,MENINA ANJO,V27,Verão 2027,6,516400
1656,VALENT,V27,Verão 2027,6,4
1658,KIKI,V26,Verão 2026,3,2
1679,KIKI,I25,Inverno 2025,1,31826
1679,MENINA ANJO,I25,Inverno 2025,1,9733
1685,KIKI,I25,Inverno 2025,1,15130
1685,KIKI,I26,Inverno 2026,4,1505
1685,MENINA ANJO,I25,Inverno 2025,1,5222
1688,KIKI,I25,Inverno 2025,1,2068
1695,KIKI,I25,Inverno 2025,1,4070
1695,KIKI,I26,Inverno 2026,4,5
1695,KIKI,V26,Verão 2026,3,7
1695,KIKI,V27,Verão 2027,6,4
1745,KIKI,I25,Inverno 2025,1,785
1745,MENINA ANJO,I25,Inverno 2025,1,5476
1776,KIKI,V26,Verão 2026,3,18223
1777,KIKI,I26,Inverno 2026,4,7261
1777,KIKI,T26,Tropical 2026,5,1933
1777,KIKI,V26,Verão 2026,3,11327
1777,MENINA ANJO,V26,Verão 2026,3,8987
1814,KIKI,V26,Verão 2026,3,16
1870,KIKI,I25,Inverno 2025,1,2284
1870,KIKI,I26,Inverno 2026,4,50332
1870,KIKI,T25,Tropical 2025,2,3577
1870,KIKI,T26,Tropical 2026,5,24450
1870,KIKI,V26,Verão 2026,3,100879
1870,KIKI,V27,Verão 2027,6,612314
1870,MENINA ANJO,I26,Inverno 2026,4,21905
1870,MENINA ANJO,V26,Verão 2026,3,32325
1870,MENINA ANJO,V27,Verão 2027,6,2430
1870,VALENT,V27,Verão 2027,6,4930
1917,KIKI,I26,Inverno 2026,4,34979
1917,KIKI,V26,Verão 2026,3,34164
1917,KIKI,V27,Verão 2027,6,33032
1917,MENINA ANJO,I26,Inverno 2026,4,17042
1917,MENINA ANJO,V26,Verão 2026,3,15908
1917,MENINA ANJO,V27,Verão 2027,6,5944
1917,VALENT,I26,Inverno 2026,4,296962
1917,VALENT,V26,Verão 2026,3,12421
1917,VALENT,V27,Verão 2027,6,13082
2024,KIKI,I26,Inverno 2026,4,10055
2024,KIKI,T26,Tropical 2026,5,12
2024,KIKI,V26,Verão 2026,3,4835
2024,MENINA ANJO,I25,Inverno 2025,1,8
2026,KIKI,I26,Inverno 2026,4,6574
2026,KIKI,T25,Tropical 2025,2,3
2026,KIKI,T26,Tropical 2026,5,1285
2026,MENINA ANJO,I25,Inverno 2025,1,4
2026,MENINA ANJO,I26,Inverno 2026,4,4338
2026,MENINA ANJO,T26,Tropical 2026,5,2527
2026,MENINA ANJO,V26,Verão 2026,3,2855
2026,VALENT,I26,Inverno 2026,4,516900
2026,VALENT,T26,Tropical 2026,5,4473
2037,KIKI,V26,Verão 2026,3,772
2045,KIKI,V26,Verão 2026,3,105196
2045,MENINA ANJO,V26,Verão 2026,3,44215
2046,KIKI,I25,Inverno 2025,1,17460
2046,KIKI,T25,Tropical 2025,2,3574
2046,KIKI,V26,Verão 2026,3,4154
2046,MENINA ANJO,I25,Inverno 2025,1,4744
2059,KIKI,V26,Verão 2026,3,83610
2059,MENINA ANJO,V26,Verão 2026,3,18383
2072,KIKI,V26,Verão 2026,3,87295
2072,MENINA ANJO,V26,Verão 2026,3,11443
2129,KIKI,I25,Inverno 2025,1,16451
2129,KIKI,I26,Inverno 2026,4,22024
2129,KIKI,T26,Tropical 2026,5,4421
2129,KIKI,V26,Verão 2026,3,9570
2129,KIKI,V27,Verão 2027,6,26322
2129,MENINA ANJO,I25,Inverno 2025,1,11
2129,VALENT,I26,Inverno 2026,4,561600
2201,KIKI,I25,Inverno 2025,1,4920
2201,KIKI,I26,Inverno 2026,4,11520
2201,KIKI,V26,Verão 2026,3,4351
2201,KIKI,V27,Verão 2027,6,17863
2201,MENINA ANJO,V26,Verão 2026,3,5
2201,MENINA ANJO,V27,Verão 2027,6,4536
2204,KIKI,I25,Inverno 2025,1,6400
2204,KIKI,I26,Inverno 2026,4,1505
2204,MENINA ANJO,I25,Inverno 2025,1,5222
2205,KIKI,I25,Inverno 2025,1,2068
2216,KIKI,V26,Verão 2026,3,14
2216,MENINA ANJO,V26,Verão 2026,3,7
2233,KIKI,I25,Inverno 2025,1,35322
2233,KIKI,I26,Inverno 2026,4,4
2233,KIKI,V26,Verão 2026,3,7
2233,KIKI,V27,Verão 2027,6,1592160
2233,MENINA ANJO,I25,Inverno 2025,1,7610
2233,MENINA ANJO,I26,Inverno 2026,4,1041920
2233,MENINA ANJO,V26,Verão 2026,3,7
2233,VALENT,V26,Verão 2026,3,10
2322,KIKI,I26,Inverno 2026,4,5057
2342,KIKI,I25,Inverno 2025,1,3
2342,MENINA ANJO,I25,Inverno 2025,1,3
2343,KIKI,I25,Inverno 2025,1,7994
2343,KIKI,I26,Inverno 2026,4,3
2343,MENINA ANJO,I25,Inverno 2025,1,14397
2343,VALENT,V26,Verão 2026,3,3
2357,KIKI,I25,Inverno 2025,1,12010
2357,KIKI,I26,Inverno 2026,4,525257
2357,KIKI,V26,Verão 2026,3,26394
2357,KIKI,V27,Verão 2027,6,1450482
2357,MENINA ANJO,I25,Inverno 2025,1,2671
2357,MENINA ANJO,V26,Verão 2026,3,6250
2361,KIKI,I25,Inverno 2025,1,22244
2361,KIKI,I26,Inverno 2026,4,14319
2361,KIKI,V26,Verão 2026,3,15803
2361,KIKI,V27,Verão 2027,6,1410808
2361,MENINA ANJO,I25,Inverno 2025,1,9428
2361,VALENT,V26,Verão 2026,3,2149
2381,KIKI,I25,Inverno 2025,1,13459
2381,KIKI,V26,Verão 2026,3,513280
2381,KIKI,V27,Verão 2027,6,1
2387,KIKI,I25,Inverno 2025,1,5179
2387,KIKI,V26,Verão 2026,3,10
2387,KIKI,V27,Verão 2027,6,1
2389,KIKI,I25,Inverno 2025,1,13916
2389,KIKI,V26,Verão 2026,3,19351
2431,KIKI,V26,Verão 2026,3,7904
2431,MENINA ANJO,V26,Verão 2026,3,2531
2440,KIKI,I26,Inverno 2026,4,527522
2440,KIKI,V26,Verão 2026,3,6271
2440,MENINA ANJO,V26,Verão 2026,3,1955
2443,KIKI,I26,Inverno 2026,4,3224
2443,KIKI,V26,Verão 2026,3,10521
2443,MENINA ANJO,I26,Inverno 2026,4,2846
2451,KIKI,I25,Inverno 2025,1,13443
2451,KIKI,I26,Inverno 2026,4,4
2451,KIKI,V26,Verão 2026,3,5
2451,MENINA ANJO,I25,Inverno 2025,1,5648
2453,KIKI,I25,Inverno 2025,1,2338
2453,KIKI,I26,Inverno 2026,4,5
2453,KIKI,V26,Verão 2026,3,651042
2453,MENINA ANJO,I25,Inverno 2025,1,2369
2459,KIKI,I25,Inverno 2025,1,10
2459,MENINA ANJO,I25,Inverno 2025,1,10
2467,KIKI,I26,Inverno 2026,4,3
2467,KIKI,V26,Verão 2026,3,7
2467,MENINA ANJO,I26,Inverno 2026,4,520960
2493,KIKI,I25,Inverno 2025,1,4136
2493,KIKI,V26,Verão 2026,3,513282
2523,KIKI,I25,Inverno 2025,1,5278
2523,KIKI,V26,Verão 2026,3,2
2524,KIKI,I25,Inverno 2025,1,18921
2524,KIKI,V26,Verão 2026,3,5
2525,KIKI,I25,Inverno 2025,1,7775
2525,MENINA ANJO,I25,Inverno 2025,1,4498
2527,KIKI,I25,Inverno 2025,1,25424
2527,KIKI,V26,Verão 2026,3,513280
2527,MENINA ANJO,I25,Inverno 2025,1,10660
2531,KIKI,I25,Inverno 2025,1,4450
2531,KIKI,I26,Inverno 2026,4,7508
2531,KIKI,V26,Verão 2026,3,6280
2531,KIKI,V27,Verão 2027,6,24916
2531,MENINA ANJO,V27,Verão 2027,6,5640
2540,KIKI,V26,Verão 2026,3,4871
2540,MENINA ANJO,V26,Verão 2026,3,2464
2554,KIKI,I25,Inverno 2025,1,4276
2554,KIKI,V26,Verão 2026,3,8113
2554,MENINA ANJO,I25,Inverno 2025,1,13167
2554,MENINA ANJO,V26,Verão 2026,3,5917
2559,KIKI,I26,Inverno 2026,4,5
2560,KIKI,I25,Inverno 2025,1,8731
2560,KIKI,I26,Inverno 2026,4,5
2560,KIKI,V26,Verão 2026,3,1
2560,KIKI,V27,Verão 2027,6,790081
2561,KIKI,I25,Inverno 2025,1,10508
2561,KIKI,I26,Inverno 2026,4,136246
2561,KIKI,V26,Verão 2026,3,3654
2561,MENINA ANJO,I25,Inverno 2025,1,4460
2561,MENINA ANJO,I26,Inverno 2026,4,3768
2561,MENINA ANJO,V26,Verão 2026,3,3102
2562,KIKI,V26,Verão 2026,3,8978
2580,KIKI,V26,Verão 2026,3,7
2615,KIKI,V26,Verão 2026,3,1
2617,KIKI,V26,Verão 2026,3,5762
2617,MENINA ANJO,V26,Verão 2026,3,6780
2622,KIKI,V26,Verão 2026,3,926601
2622,MENINA ANJO,V26,Verão 2026,3,49844
2665,KIKI,I25,Inverno 2025,1,7239
2665,KIKI,V26,Verão 2026,3,384965
2665,MENINA ANJO,I25,Inverno 2025,1,2369
2666,KIKI,I25,Inverno 2025,1,6565
2666,KIKI,I26,Inverno 2026,4,14
2666,KIKI,V26,Verão 2026,3,124958
2666,MENINA ANJO,I25,Inverno 2025,1,4953
2666,MENINA ANJO,V26,Verão 2026,3,4239
2696,KIKI,I25,Inverno 2025,1,28
2696,KIKI,I26,Inverno 2026,4,21
2696,KIKI,V26,Verão 2026,3,16
2696,KIKI,V27,Verão 2027,6,2613597
2697,KIKI,I25,Inverno 2025,1,4556
2697,KIKI,I26,Inverno 2026,4,4159
2697,KIKI,V26,Verão 2026,3,2243
2697,MENINA ANJO,I25,Inverno 2025,1,2774
2697,MENINA ANJO,V26,Verão 2026,3,14
2700,VALENT,V26,Verão 2026,3,735600
2704,KIKI,V26,Verão 2026,3,588
2706,KIKI,V26,Verão 2026,3,1145
2706,MENINA ANJO,V26,Verão 2026,3,2945
2708,KIKI,I25,Inverno 2025,1,12296
2708,KIKI,V26,Verão 2026,3,2090
2708,KIKI,V27,Verão 2027,6,6757
2708,VALENT,V26,Verão 2026,3,2158
2713,KIKI,I26,Inverno 2026,4,5078
2713,KIKI,V26,Verão 2026,3,7052
2713,KIKI,V27,Verão 2027,6,28718
2713,MENINA ANJO,V26,Verão 2026,3,5314
2713,MENINA ANJO,V27,Verão 2027,6,413489
2713,VALENT,V26,Verão 2026,3,16972
2713,VALENT,V27,Verão 2027,6,9009
2761,KIKI,I26,Inverno 2026,4,568272
2761,KIKI,T26,Tropical 2026,5,3943
2761,KIKI,V26,Verão 2026,3,65223
2761,MENINA ANJO,I26,Inverno 2026,4,8092
2761,MENINA ANJO,T26,Tropical 2026,5,17679
2761,MENINA ANJO,V26,Verão 2026,3,20246
2761,VALENT,V26,Verão 2026,3,12737
2764,KIKI,V26,Verão 2026,3,7297
2779,KIKI,I25,Inverno 2025,1,3412
2779,KIKI,I26,Inverno 2026,4,18824
2779,KIKI,V26,Verão 2026,3,16181
2779,MENINA ANJO,I25,Inverno 2025,1,10958
2779,MENINA ANJO,I26,Inverno 2026,4,14429
2779,MENINA ANJO,V26,Verão 2026,3,15972
2779,VALENT,V26,Verão 2026,3,9909
2790,VALENT,V26,Verão 2026,3,1707
2791,KIKI,I25,Inverno 2025,1,13428
2791,KIKI,I26,Inverno 2026,4,1109
2791,KIKI,V26,Verão 2026,3,2113
2791,KIKI,V27,Verão 2027,6,2585
2791,MENINA ANJO,V26,Verão 2026,3,5022
2791,MENINA ANJO,V27,Verão 2027,6,12002
2798,KIKI,I25,Inverno 2025,1,555307
2798,KIKI,I26,Inverno 2026,4,387319
2798,KIKI,V26,Verão 2026,3,220
2798,MENINA ANJO,I25,Inverno 2025,1,94535
2817,KIKI,I26,Inverno 2026,4,3141
2817,KIKI,T25,Tropical 2025,2,2
2817,KIKI,V27,Verão 2027,6,3818
2817,MENINA ANJO,I26,Inverno 2026,4,2846
2817,MENINA ANJO,V26,Verão 2026,3,1955
2817,MENINA ANJO,V27,Verão 2027,6,2779
2823,KIKI,V26,Verão 2026,3,2108
2823,MENINA ANJO,V26,Verão 2026,3,5126
2847,KIKI,I25,Inverno 2025,1,7522
2847,KIKI,I26,Inverno 2026,4,7
2847,KIKI,V26,Verão 2026,3,9
2847,KIKI,V27,Verão 2027,6,323362
2847,MENINA ANJO,I25,Inverno 2025,1,6119
2879,KIKI,I25,Inverno 2025,1,3022
2879,MENINA ANJO,I25,Inverno 2025,1,2644
2879,MENINA ANJO,V26,Verão 2026,3,5283
2902,KIKI,V26,Verão 2026,3,67074
2902,MENINA ANJO,V26,Verão 2026,3,3310
2913,KIKI,I25,Inverno 2025,1,9382
2913,KIKI,I26,Inverno 2026,4,5306
2913,KIKI,V26,Verão 2026,3,8595
2913,MENINA ANJO,I26,Inverno 2026,4,1681
2928,KIKI,V26,Verão 2026,3,11454
2930,KIKI,V26,Verão 2026,3,2345
2950,KIKI,V26,Verão 2026,3,2108
2950,MENINA ANJO,V26,Verão 2026,3,18317
2950,VALENT,V26,Verão 2026,3,7
2968,KIKI,I25,Inverno 2025,1,5074
2968,MENINA ANJO,I25,Inverno 2025,1,4498
2969,KIKI,I25,Inverno 2025,1,52452
2969,KIKI,I26,Inverno 2026,4,11422
2969,KIKI,V26,Verão 2026,3,18382
2969,MENINA ANJO,I25,Inverno 2025,1,4877
2969,MENINA ANJO,I26,Inverno 2026,4,15792
3054,KIKI,I25,Inverno 2025,1,8678
3054,KIKI,V26,Verão 2026,3,8955
3054,MENINA ANJO,V26,Verão 2026,3,5008
3058,KIKI,I25,Inverno 2025,1,2068
3063,KIKI,I25,Inverno 2025,1,21609
3063,KIKI,I26,Inverno 2026,4,7789
3063,KIKI,V26,Verão 2026,3,17018
3063,MENINA ANJO,I26,Inverno 2026,4,8003
3063,MENINA ANJO,V26,Verão 2026,3,5206
3067,KIKI,I25,Inverno 2025,1,21514
3067,KIKI,I26,Inverno 2026,4,15106
3067,KIKI,V26,Verão 2026,3,27012
3067,KIKI,V27,Verão 2027,6,1410802
3105,KIKI,I25,Inverno 2025,1,2378
3105,MENINA ANJO,I25,Inverno 2025,1,5490
3112,KIKI,I25,Inverno 2025,1,3
3112,KIKI,V26,Verão 2026,3,2094
3112,VALENT,V26,Verão 2026,3,3
3122,KIKI,I25,Inverno 2025,1,9119
3122,KIKI,V26,Verão 2026,3,266087
3125,KIKI,I25,Inverno 2025,1,6138
3125,KIKI,I26,Inverno 2026,4,1
3125,MENINA ANJO,I25,Inverno 2025,1,2894
3130,KIKI,I26,Inverno 2026,4,15177
3130,KIKI,T26,Tropical 2026,5,4230
3130,KIKI,V26,Verão 2026,3,11630
3130,MENINA ANJO,I26,Inverno 2026,4,5454
3130,MENINA ANJO,T26,Tropical 2026,5,4604
3130,MENINA ANJO,V26,Verão 2026,3,20124
3130,VALENT,I26,Inverno 2026,4,2914
3130,VALENT,V26,Verão 2026,3,2198
3144,KIKI,T25,Tropical 2025,2,4
3146,KIKI,I26,Inverno 2026,4,17
3146,KIKI,T25,Tropical 2025,2,5
3146,KIKI,T26,Tropical 2026,5,6
3146,KIKI,V26,Verão 2026,3,9342
3146,KIKI,V27,Verão 2027,6,2180
3146,MENINA ANJO,I25,Inverno 2025,1,36
3146,MENINA ANJO,V26,Verão 2026,3,7459
3146,VALENT,I26,Inverno 2026,4,8
3146,VALENT,V26,Verão 2026,3,6473
3149,KIKI,I25,Inverno 2025,1,7625
3149,KIKI,I26,Inverno 2026,4,9979
3149,KIKI,V26,Verão 2026,3,12412
3149,MENINA ANJO,I25,Inverno 2025,1,2818
3149,MENINA ANJO,I26,Inverno 2026,4,5177
3149,MENINA ANJO,V26,Verão 2026,3,2594
3149,VALENT,I26,Inverno 2026,4,280800
3161,KIKI,I25,Inverno 2025,1,2369
3161,MENINA ANJO,I26,Inverno 2026,4,520960
3171,KIKI,I25,Inverno 2025,1,13
3171,KIKI,I26,Inverno 2026,4,4
3171,KIKI,V26,Verão 2026,3,4
3171,MENINA ANJO,I25,Inverno 2025,1,12
3176,KIKI,I25,Inverno 2025,1,79485
3176,KIKI,I26,Inverno 2026,4,7355
3176,KIKI,V26,Verão 2026,3,17674
3176,MENINA ANJO,I25,Inverno 2025,1,16987
3176,MENINA ANJO,V26,Verão 2026,3,7
3205,KIKI,I25,Inverno 2025,1,18501
3205,KIKI,I26,Inverno 2026,4,5
3205,KIKI,V26,Verão 2026,3,7
3205,KIKI,V27,Verão 2027,6,560971
3205,MENINA ANJO,I25,Inverno 2025,1,9468
3216,KIKI,I25,Inverno 2025,1,34628
3216,KIKI,I26,Inverno 2026,4,10
3216,KIKI,V26,Verão 2026,3,221948
3216,MENINA ANJO,I25,Inverno 2025,1,10223
3216,MENINA ANJO,V26,Verão 2026,3,12063
3216,VALENT,V26,Verão 2026,3,9483
3225,MENINA ANJO,I25,Inverno 2025,1,12438
3238,KIKI,I25,Inverno 2025,1,5562
3238,KIKI,I26,Inverno 2026,4,8
3238,KIKI,V27,Verão 2027,6,2
3238,MENINA ANJO,I25,Inverno 2025,1,2878
3251,KIKI,I25,Inverno 2025,1,7799
3251,KIKI,I26,Inverno 2026,4,4
3251,KIKI,V26,Verão 2026,3,513289
3267,KIKI,I25,Inverno 2025,1,22432
3267,KIKI,I26,Inverno 2026,4,14536
3267,KIKI,V26,Verão 2026,3,23393
3267,KIKI,V27,Verão 2027,6,11174
3267,MENINA ANJO,I25,Inverno 2025,1,2216
3267,MENINA ANJO,I26,Inverno 2026,4,2698
3267,MENINA ANJO,V26,Verão 2026,3,8102
3296,KIKI,T25,Tropical 2025,2,2
3297,KIKI,I25,Inverno 2025,1,14729
3297,KIKI,V26,Verão 2026,3,2
3299,KIKI,I25,Inverno 2025,1,5076
3299,MENINA ANJO,I25,Inverno 2025,1,9494
3302,KIKI,I25,Inverno 2025,1,9206
3302,KIKI,V26,Verão 2026,3,513287
3302,MENINA ANJO,I26,Inverno 2026,4,520960
3302,VALENT,V26,Verão 2026,3,3
3311,KIKI,I25,Inverno 2025,1,3
3383,KIKI,V26,Verão 2026,3,164443
3383,VALENT,V26,Verão 2026,3,38891
3384,KIKI,V26,Verão 2026,3,40339
3384,MENINA ANJO,V26,Verão 2026,3,22639
3384,VALENT,V26,Verão 2026,3,10919
3410,KIKI,I26,Inverno 2026,4,91763
3410,KIKI,T26,Tropical 2026,5,13225
3410,KIKI,V26,Verão 2026,3,35062
3410,MENINA ANJO,I26,Inverno 2026,4,10913
3410,MENINA ANJO,T26,Tropical 2026,5,11414
3410,VALENT,V26,Verão 2026,3,16622
3431,KIKI,I26,Inverno 2026,4,5812
3431,KIKI,V26,Verão 2026,3,7947
3431,KIKI,V27,Verão 2027,6,8978
3431,VALENT,V26,Verão 2026,3,817
3431,VALENT,V27,Verão 2027,6,2613
3438,KIKI,I25,Inverno 2025,1,11815
3438,KIKI,I26,Inverno 2026,4,25316
3438,KIKI,V26,Verão 2026,3,11907
3438,MENINA ANJO,I25,Inverno 2025,1,25976
3438,MENINA ANJO,V26,Verão 2026,3,2536
3451,KIKI,V27,Verão 2027,6,2578
3452,KIKI,I25,Inverno 2025,1,3200
3452,KIKI,V26,Verão 2026,3,6496
3452,VALENT,V26,Verão 2026,3,2419
3465,KIKI,V26,Verão 2026,3,12782
3465,VALENT,V26,Verão 2026,3,12947
3478,KIKI,I26,Inverno 2026,4,11
3479,KIKI,V27,Verão 2027,6,134495
3480,KIKI,I25,Inverno 2025,1,7148
3480,KIKI,I26,Inverno 2026,4,7
3480,KIKI,V26,Verão 2026,3,5
3480,KIKI,V27,Verão 2027,6,1
3480,MENINA ANJO,I25,Inverno 2025,1,16644
3485,KIKI,V26,Verão 2026,3,79074
3485,KIKI,V27,Verão 2027,6,189340
3485,MENINA ANJO,V26,Verão 2026,3,21823
3485,MENINA ANJO,V27,Verão 2027,6,32662
3485,VALENT,V26,Verão 2026,3,27647
3485,VALENT,V27,Verão 2027,6,51635
3493,KIKI,I26,Inverno 2026,4,15425
3493,KIKI,V26,Verão 2026,3,13583
3493,KIKI,V27,Verão 2027,6,23276
3493,MENINA ANJO,I26,Inverno 2026,4,5544
3493,VALENT,I26,Inverno 2026,4,2914
3493,VALENT,V27,Verão 2027,6,1955
3501,KIKI,V26,Verão 2026,3,384962
3503,KIKI,V26,Verão 2026,3,513282
3516,KIKI,I25,Inverno 2025,1,3352
3516,KIKI,I26,Inverno 2026,4,18375
3516,KIKI,V26,Verão 2026,3,101935
3516,MENINA ANJO,I25,Inverno 2025,1,890
3516,MENINA ANJO,I26,Inverno 2026,4,2734
3516,MENINA ANJO,V26,Verão 2026,3,27070
3522,KIKI,I25,Inverno 2025,1,2231
3522,KIKI,V26,Verão 2026,3,2
3522,MENINA ANJO,I25,Inverno 2025,1,6768
3541,KIKI,I25,Inverno 2025,1,2234
3541,KIKI,I26,Inverno 2026,4,532017
3541,KIKI,V26,Verão 2026,3,7660
3541,MENINA ANJO,I25,Inverno 2025,1,12110
3541,MENINA ANJO,I26,Inverno 2026,4,6754
3541,MENINA ANJO,V26,Verão 2026,3,13219
3551,KIKI,I25,Inverno 2025,1,5
3551,MENINA ANJO,I25,Inverno 2025,1,3965
3551,MENINA ANJO,I26,Inverno 2026,4,520960
3565,KIKI,I25,Inverno 2025,1,60820
3565,KIKI,I26,Inverno 2026,4,527725
3565,KIKI,V26,Verão 2026,3,5920
3565,MENINA ANJO,I25,Inverno 2025,1,17251
3565,MENINA ANJO,V26,Verão 2026,3,13516
3572,KIKI,I25,Inverno 2025,1,12103
3572,KIKI,I26,Inverno 2026,4,7702
3572,KIKI,V26,Verão 2026,3,21634
3572,KIKI,V27,Verão 2027,6,939445
3572,MENINA ANJO,I25,Inverno 2025,1,8192
3572,MENINA ANJO,V26,Verão 2026,3,5126
3578,KIKI,I25,Inverno 2025,1,6400
3578,KIKI,I26,Inverno 2026,4,4
3578,KIKI,V26,Verão 2026,3,7900
3578,MENINA ANJO,I25,Inverno 2025,1,5222
3585,KIKI,I25,Inverno 2025,1,6
3585,KIKI,I26,Inverno 2026,4,5
3585,KIKI,V26,Verão 2026,3,3
3606,KIKI,V26,Verão 2026,3,772397
3606,MENINA ANJO,V26,Verão 2026,3,151800
3610,KIKI,I25,Inverno 2025,1,10058
3610,KIKI,T25,Tropical 2025,2,1537
3610,KIKI,V26,Verão 2026,3,5684
3610,MENINA ANJO,I25,Inverno 2025,1,2644
3610,MENINA ANJO,T25,Tropical 2025,2,2473
3610,MENINA ANJO,V26,Verão 2026,3,2936
3610,VALENT,V26,Verão 2026,3,2338
3611,KIKI,I25,Inverno 2025,1,8500
3611,KIKI,V26,Verão 2026,3,2108
3611,MENINA ANJO,I25,Inverno 2025,1,3141
3611,MENINA ANJO,V26,Verão 2026,3,9999
3636,KIKI,I26,Inverno 2026,4,5
3636,KIKI,V26,Verão 2026,3,4
3644,KIKI,I25,Inverno 2025,1,6
3644,KIKI,I26,Inverno 2026,4,7
3644,KIKI,V26,Verão 2026,3,3306
3644,MENINA ANJO,I25,Inverno 2025,1,6547
3691,KIKI,I25,Inverno 2025,1,37638
3691,KIKI,V26,Verão 2026,3,25449
3691,MENINA ANJO,I25,Inverno 2025,1,4946
3692,KIKI,I26,Inverno 2026,4,2
3692,KIKI,V26,Verão 2026,3,4
3692,MENINA ANJO,I25,Inverno 2025,1,10
3696,KIKI,T25,Tropical 2025,2,3
3704,MENINA ANJO,I25,Inverno 2025,1,7
3709,KIKI,I25,Inverno 2025,1,9971
3709,KIKI,I26,Inverno 2026,4,5
