codcli,marca,colecaoId,colecao,ordem,valor
17216,VALENT,V26,Verão 2026,3,2969
17216,VALENT,V27,Verão 2027,6,5078
17220,KIKI,V26,Verão 2026,3,5989
17220,KIKI,V27,Verão 2027,6,8
17221,KIKI,I26,Inverno 2026,4,678376
17221,KIKI,T26,Tropical 2026,5,33974
17221,KIKI,V26,Verão 2026,3,92221
17221,KIKI,V27,Verão 2027,6,2038876
17221,MENINA ANJO,I26,Inverno 2026,4,27831
17221,MENINA ANJO,T26,Tropical 2026,5,17387
17221,MENINA ANJO,V26,Verão 2026,3,33676
17221,MENINA ANJO,V27,Verão 2027,6,614475
17221,VALENT,I26,Inverno 2026,4,4238
17221,VALENT,T26,Tropical 2026,5,24485
17221,VALENT,V26,Verão 2026,3,18968
17221,VALENT,V27,Verão 2027,6,49197
17222,KIKI,V26,Verão 2026,3,513280
17223,KIKI,I26,Inverno 2026,4,3760
17223,KIKI,V26,Verão 2026,3,1357
17224,KIKI,I26,Inverno 2026,4,6307
17224,KIKI,V26,Verão 2026,3,1357
17227,KIKI,V26,Verão 2026,3,6442
17228,KIKI,V26,Verão 2026,3,52188
17228,MENINA ANJO,V26,Verão 2026,3,22257
17228,VALENT,V26,Verão 2026,3,482080
17230,KIKI,I26,Inverno 2026,4,29216
17230,KIKI,V26,Verão 2026,3,20127
17230,MENINA ANJO,I26,Inverno 2026,4,5980
17230,MENINA ANJO,V26,Verão 2026,3,10929
17230,VALENT,V26,Verão 2026,3,7216
17233,KIKI,I26,Inverno 2026,4,2549
17233,KIKI,V26,Verão 2026,3,31802
17233,MENINA ANJO,V26,Verão 2026,3,10076
17233,VALENT,V26,Verão 2026,3,2158
17234,KIKI,V26,Verão 2026,3,17653
17234,KIKI,V27,Verão 2027,6,415649
17234,MENINA ANJO,V26,Verão 2026,3,43233
17234,MENINA ANJO,V27,Verão 2027,6,386550
17235,KIKI,V26,Verão 2026,3,15657
17235,MENINA ANJO,V26,Verão 2026,3,6857
17235,VALENT,V26,Verão 2026,3,17876
17237,KIKI,I26,Inverno 2026,4,1501
17237,KIKI,T26,Tropical 2026,5,3352
17237,KIKI,V26,Verão 2026,3,9446
17237,MENINA ANJO,V26,Verão 2026,3,8237
17238,KIKI,I26,Inverno 2026,4,3830
17238,KIKI,V27,Verão 2027,6,2540
17238,VALENT,V26,Verão 2026,3,4
17238,VALENT,V27,Verão 2027,6,1379
17239,KIKI,V26,Verão 2026,3,3159
17242,KIKI,V26,Verão 2026,3,21434
17244,KIKI,V26,Verão 2026,3,5996
17244,KIKI,V27,Verão 2027,6,14468
17244,MENINA ANJO,V26,Verão 2026,3,6440
17244,MENINA ANJO,V27,Verão 2027,6,5962
17244,VALENT,I26,Inverno 2026,4,3431
17244,VALENT,V27,Verão 2027,6,1654
17245,KIKI,I26,Inverno 2026,4,141839
17245,KIKI,V26,Verão 2026,3,2279
17245,MENINA ANJO,I26,Inverno 2026,4,3779
17245,VALENT,I26,Inverno 2026,4,23327
17251,KIKI,I26,Inverno 2026,4,261300
17251,KIKI,V26,Verão 2026,3,3742
17251,MENINA ANJO,V26,Verão 2026,3,2936
17252,KIKI,I26,Inverno 2026,4,54756
17252,KIKI,T26,Tropical 2026,5,2701
17252,KIKI,V26,Verão 2026,3,49061
17252,MENINA ANJO,I26,Inverno 2026,4,2834
17252,MENINA ANJO,V26,Verão 2026,3,8953
17252,VALENT,V26,Verão 2026,3,39288
17253,KIKI,I26,Inverno 2026,4,18610
17253,VALENT,I26,Inverno 2026,4,873900
17255,KIKI,I26,Inverno 2026,4,8856
17255,KIKI,V26,Verão 2026,3,10616
17256,KIKI,I26,Inverno 2026,4,5761
17256,KIKI,V26,Verão 2026,3,8314
17256,MENINA ANJO,I26,Inverno 2026,4,2383
17256,MENINA ANJO,V26,Verão 2026,3,2486
17261,KIKI,V26,Verão 2026,3,4478
17261,MENINA ANJO,V26,Verão 2026,3,2675
17265,KIKI,V26,Verão 2026,3,4712
17266,KIKI,I26,Inverno 2026,4,395161
17266,KIKI,V26,Verão 2026,3,25242
17266,MENINA ANJO,I26,Inverno 2026,4,14029
17266,MENINA ANJO,V26,Verão 2026,3,850129
17266,VALENT,V26,Verão 2026,3,6264
17268,KIKI,I26,Inverno 2026,4,17030
17268,KIKI,V26,Verão 2026,3,27287
17268,KIKI,V27,Verão 2027,6,663588
17268,MENINA ANJO,V27,Verão 2027,6,10242
17269,KIKI,V26,Verão 2026,3,86213
17269,MENINA ANJO,V26,Verão 2026,3,16391
17270,KIKI,I26,Inverno 2026,4,15652
17270,KIKI,V26,Verão 2026,3,24
17270,MENINA ANJO,I26,Inverno 2026,4,15
17270,MENINA ANJO,V26,Verão 2026,3,13
17271,KIKI,I26,Inverno 2026,4,41751
17271,KIKI,V26,Verão 2026,3,5677
17272,KIKI,V26,Verão 2026,3,54318
17272,KIKI,V27,Verão 2027,6,297930
17272,MENINA ANJO,V26,Verão 2026,3,21707
17272,MENINA ANJO,V27,Verão 2027,6,1562000
17272,VALENT,V26,Verão 2026,3,29773
