codcli,profile
4566,FREQUENTE
4567,REGULAR
4569,VIP
4571,FREQUENTE
4575,REGULAR
4577,FREQUENTE
4581,REGULAR
4583,REGULAR
4585,REGULAR
4586,REGULAR
4589,REGULAR
4591,REGULAR
4598,EVENTUAL
4599,FREQUENTE
4609,REGULAR
4614,VIP
4615,REGULAR
4617,REGULAR
4618,REGULAR
4620,EVENTUAL
4621,REGULAR
4623,FREQUENTE
4632,VIP
4633,VIP
4642,REGULAR
4644,VIP
4646,FREQUENTE
4649,REGULAR
4654,REGULAR
4661,EVENTUAL
4662,EVENTUAL
4663,VIP
4664,REGULAR
4665,EVENTUAL
4667,FREQUENTE
4669,VIP
4675,FREQUENTE
4684,EVENTUAL
4688,VIP
4690,FREQUENTE
4691,EVENTUAL
4692,REGULAR
4693,REGULAR
4697,FREQUENTE
4698,FREQUENTE
4701,EVENTUAL
4705,VIP
4716,VIP 3+
4717,EVENTUAL
4722,EVENTUAL
4723,REGULAR
4724,REGULAR
4725,REGULAR
4729,VIP
4730,VIP
4742,REGULAR
4743,FREQUENTE
4744,REGULAR
4748,REGULAR
4749,FREQUENTE
4751,REGULAR
4754,REGULAR
4758,REGULAR
4763,REGULAR
4766,VIP
4767,REGULAR
4772,REGULAR
4774,REGULAR
4775,FREQUENTE
4791,REGULAR
4792,EVENTUAL
4794,FREQUENTE
4798,VIP
4799,REGULAR
4801,EVENTUAL
4802,REGULAR
4804,EVENTUAL
4813,VIP
4814,FREQUENTE
4819,VIP
4822,REGULAR
4824,VIP
4825,VIP
4828,VIP
4829,REGULAR
4842,VIP
4844,REGULAR
4847,REGULAR
4848,VIP
4853,REGULAR
4860,VIP
4861,FREQUENTE
4862,FREQUENTE
4863,VIP
4865,VIP
4866,REGULAR
4876,REGULAR
4877,FREQUENTE
4879,VIP
4882,REGULAR
4885,FREQUENTE
4888,VIP
4889,EVENTUAL
4890,REGULAR
4893,REGULAR
4894,REGULAR
4906,EVENTUAL
4907,REGULAR
4909,REGULAR
4910,VIP
4912,FREQUENTE
4913,REGULAR
4925,REGULAR
4926,VIP
4927,VIP
4928,REGULAR
4930,REGULAR
4931,FREQUENTE
4933,REGULAR
4936,VIP
4938,REGULAR
4940,EVENTUAL
4941,REGULAR
4943,REGULAR
4945,FREQUENTE
4949,EVENTUAL
4950,EVENTUAL
4951,VIP
4953,REGULAR
4954,REGULAR
4955,EVENTUAL
4956,REGULAR
4957,EVENTUAL
4958,EVENTUAL
4959,REGULAR
4960,EVENTUAL
4968,REGULAR
4970,REGULAR
4972,REGULAR
4977,EVENTUAL
4978,EVENTUAL
4985,FREQUENTE
4991,VIP
4992,REGULAR
4993,EVENTUAL
4994,REGULAR
4998,EVENTUAL
5004,VIP
5006,FREQUENTE
5007,REGULAR
5009,EVENTUAL
5010,EVENTUAL
5011,EVENTUAL
5013,EVENTUAL
5015,REGULAR
5017,EVENTUAL
5021,REGULAR
5023,REGULAR
5024,REGULAR
5026,REGULAR
5029,EVENTUAL
5033,REGULAR
5035,VIP
5036,VIP
5043,REGULAR
5044,FREQUENTE
5045,VIP
5049,EVENTUAL
5053,FREQUENTE
5055,VIP
5057,FREQUENTE
5058,REGULAR
5066,REGULAR
5067,EVENTUAL
5070,FREQUENTE
5076,REGULAR
5077,EVENTUAL
5079,EVENTUAL
5085,REGULAR
5087,REGULAR
5088,REGULAR
5089,REGULAR
5096,VIP
5099,REGULAR
5101,FREQUENTE
5102,REGULAR
5103,VIP
5104,FREQUENTE
5105,VIP
5107,REGULAR
5109,EVENTUAL
5114,REGULAR
5116,REGULAR
5119,VIP
5121,REGULAR
5124,REGULAR
5128,EVENTUAL
5132,EVENTUAL
5134,REGULAR
5138,REGULAR
5142,VIP
5144,VIP
5145,REGULAR
5146,EVENTUAL
5150,EVENTUAL
5151,EVENTUAL
5157,VIP
5159,REGULAR
5161,FREQUENTE
5164,EVENTUAL
5167,VIP
5169,REGULAR
5172,REGULAR
5173,EVENTUAL
5181,FREQUENTE
5187,EVENTUAL
5188,REGULAR
5191,REGULAR
5192,REGULAR
5193,FREQUENTE
5198,EVENTUAL
5199,VIP
5203,VIP
5205,REGULAR
5206,REGULAR
5207,REGULAR
5210,REGULAR
5218,VIP
5223,REGULAR
5224,REGULAR
5225,REGULAR
5226,EVENTUAL
5227,REGULAR
5229,REGULAR
5230,VIP
5231,EVENTUAL
5233,REGULAR
5236,REGULAR
5237,REGULAR
5240,VIP
5241,REGULAR
5242,REGULAR
5247,EVENTUAL
5248,VIP
5250,FREQUENTE
5251,REGULAR
5257,VIP
5260,FREQUENTE
5261,VIP
5267,EVENTUAL
5268,EVENTUAL
5269,FREQUENTE
5270,VIP
5271,VIP
5272,VIP
5276,REGULAR
5278,REGULAR
5279,FREQUENTE
5280,REGULAR
5282,REGULAR
5283,VIP
5285,VIP
5288,VIP
5295,REGULAR
5300,VIP
5303,FREQUENTE
5304,EVENTUAL
5305,FREQUENTE
5310,REGULAR
5319,FREQUENTE
5320,FREQUENTE
5321,VIP
5322,VIP
5323,REGULAR
5325,VIP
5326,REGULAR
5327,VIP
5329,REGULAR
5330,REGULAR
5336,EVENTUAL
5337,VIP
5340,EVENTUAL
5341,EVENTUAL
5342,REGULAR
5343,REGULAR
5344,REGULAR
5346,REGULAR
5347,REGULAR
5349,REGULAR
5350,REGULAR
5356,FREQUENTE
5358,REGULAR
5359,VIP
5360,REGULAR
5361,VIP
5362,VIP
5366,EVENTUAL
5367,FREQUENTE
5369,REGULAR
5370,REGULAR
5373,REGULAR
5377,FREQUENTE
5379,REGULAR
5380,REGULAR
5381,REGULAR
5383,REGULAR
5384,VIP
5385,EVENTUAL
5386,REGULAR
5387,REGULAR
5388,EVENTUAL
5390,REGULAR
5391,EVENTUAL
5392,VIP
5398,FREQUENTE
5405,REGULAR
5409,NOVO 24
5411,REGULAR
5416,REGULAR
5433,VIP
5434,REGULAR
5438,REGULAR
5441,REGULAR
5449,VIP
5451,NOVO 24
5456,VIP
5460,VIP
5464,FREQUENTE
